Name,depart_time,price,depart_time_hour,depart_time_minute
에어부산,08:30,26950,8,30
아시아나항공,08:30,91865,8,30
에어부산,08:40,25763,8,40
아시아나항공,08:40,91865,8,40
제주항공,08:45,22373,8,45
대한항공,09:00,84577,9,0
에어부산,09:10,25763,9,10
아시아나항공,09:10,91865,9,10
에어부산,09:15,27797,9,15
아시아나항공,09:15,91865,9,15
이스타항공,10:05,29323,10,5
제주항공,10:45,29662,10,45
대한항공,12:00,84577,12,0
제주항공,12:55,25424,12,55
에어부산,13:25,30678,13,25
아시아나항공,13:25,91865,13,25
에어부산,13:30,36441,13,30
제주항공,14:05,45424,14,5
에어부산,14:55,45255,14,55
제주항공,15:30,57967,15,30
에어부산,16:30,58306,16,30
에어부산,16:45,56441,16,45
대한항공,17:40,84577,17,40
제주항공,17:50,66272,17,50
제주항공,18:30,75594,18,30
에어부산,18:35,72034,18,35
에어부산,19:05,59662,19,5
아시아나항공,19:05,91865,19,5
에어부산,19:35,72034,19,35
아시아나항공,19:35,91865,19,35
에어부산,19:55,62543,19,55
대한항공,20:00,84577,20,0
제주항공,20:05,66272,20,5
대한항공,20:45,84577,20,45
대한항공,21:05,84577,21,5
